id,texto,sarcasmo
147,Vaya innovación quitar el botón de ayuda cuando más se necesita,1
148,El producto final superó con creces las expectativas del cliente,0
149,Qué sorpresa que justo hoy no funcione lo que siempre funciona bien,1
150,Hoy logré algo que habría parecido imposible hace tan solo un año,0
151,Brillante idea requerir cuenta para ver contenido que era abierto,1
152,El proceso de revisión fue muy transparente y bien documentado,0
153,Obvio que ofrezcan descuento justo después de que ya compré,1
154,Mi equipo recibió reconocimiento externo por el trabajo realizado,0
155,Como no otra versión nueva que viene con los mismos errores viejos,1
156,La presentación final fue muy bien recibida por el comité evaluador,0
157,Qué novedad que el soporte técnico diga que no es su problema,1
158,Terminé el año con el mejor desempeño desde que empecé aquí,0
159,Genio total el que puso ese aviso de cookies que ocupa media pantalla,1
160,El equipo alcanzó todos sus objetivos de desarrollo este año,0
161,Muy original ese cargo extra que no estaba en el presupuesto inicial,1
162,Hoy obtuve la aprobación definitiva de mi proyecto de tesis,0
163,Claro que sí qué buena idea eliminar justo la función más usada,1
164,El primer año de operaciones superó las proyecciones del plan,0
165,Vaya que sí qué útil ese error que aparece sin descripción alguna,1
166,La colaboración con el nuevo socio generó resultados inmediatos,0
167,Qué sorpresa que el producto venga sin las partes anunciadas,1
168,Hoy cerré el mejor ciclo de ventas en la historia del negocio,0
169,Obvio que la promoción expire exactamente cuando quiero usarla,1
170,El equipo de desarrollo entregó antes del plazo con calidad superior,0
171,Brillante ese captcha imposible de resolver para humanos normales,1
172,Recibí una invitación especial que no esperaba recibir tan pronto,0
173,Como no otra vez actualizaron sin pedir permiso ni dar aviso,1
174,Hoy se materializó el proyecto que más trabajo me ha costado,0
175,Qué novedoso cobrar cuota de inscripción sin explicar para qué,1
176,El resultado del trabajo en equipo fue más allá de lo esperado,0
177,Genio total el que decidió hacer este trámite online más difícil,1
178,Mi startup alcanzó el primer millón de pesos en ventas acumuladas,0
179,Muy original que el precio en la etiqueta sea diferente al sistema,1
180,El proyecto fue finalizado con el más alto estándar de calidad,0
181,Claro que sí increíble que el wifi falle justo en videoconferencia,1
182,Hoy recibí la mejor retroalimentación de toda mi trayectoria,0
183,Vaya que sí qué raro que las instrucciones estén en otro idioma,1
184,La nueva estrategia implementada generó resultados positivos rápido,0
185,Qué sorpresa que la caja llegue abierta y el producto dañado,1
186,Terminé el año con las mejores métricas de mi carrera completa,0
187,Obvio que la función más importante esté detrás de un pago extra,1
188,El equipo logró resolver el problema más difícil en tiempo récord,0
189,Brillante idea hacer que iniciar sesión tome más pasos cada vez,1
190,Hoy recibí la aprobación que esperaba para continuar el proyecto,0
191,Como no prometieron entrega en dos días y tardó tres semanas,1
192,El año cerró con un crecimiento que superó todas las proyecciones,0
193,Qué genial ese proceso de pago que requiere llamar por teléfono,1
194,Mi trabajo fue reconocido por referentes del sector en el congreso,0
195,Muy original ese descuento que en realidad aumenta el precio base,1
196,El primer trimestre del nuevo ciclo inició con resultados positivos,0
197,Claro que sí maravilloso que fallen en el único día que los necesito,1
198,Hoy alcancé la meta más ambiciosa que me había propuesto este año,0
199,Vaya innovación hacer más complejo algo que era perfectamente simple,1
200,Terminé el año sintiéndome orgulloso del trabajo realizado este ciclo,0
