id,texto,etiqueta
41,Producto defectuoso desde la caja ni siquiera encendió,Negativo
42,Lo recomiendo ampliamente especialmente para uso profesional,Positivo
43,No es malo pero tampoco es tan bueno como dicen los reviews,Neutro
44,La empresa reemplazó el producto sin problema alguno,Positivo
45,Muy caro para la calidad tan mediocre que ofrece,Negativo
46,Llegó perfectamente empacado y en el tiempo prometido,Positivo
47,La pantalla se rayó al primer día sin haberla golpeado,Negativo
48,Excelente compra precio justo y calidad muy buena,Positivo
49,El olor del producto es muy fuerte y molesto,Negativo
50,Funciona bien es lo que necesitaba sin complicaciones,Positivo
51,El adaptador no era compatible aunque la descripción dice que sí,Negativo
52,Muy buen precio y la entrega fue más rápida de lo esperado,Positivo
53,Las instrucciones son confusas y difíciles de seguir,Negativo
54,Buena compra en general cumple con lo básico,Neutro
55,El soporte técnico me ayudó a resolver el problema rápidamente,Positivo
56,Vino sin el accesorio que aparece en las fotos del listado,Negativo
57,Exactamente lo que buscaba perfecto para mis necesidades,Positivo
58,La aplicación se cierra sola constantemente es muy frustrante,Negativo
59,Bien construido y materiales de buena calidad aparente,Positivo
60,No dura lo que prometen es mucho menos de lo anunciado,Negativo
61,Genial producto lo uso a diario y nunca ha fallado,Positivo
62,Tuve que llamar cinco veces para resolver un simple problema,Negativo
63,El precio es accesible y la calidad es bastante aceptable,Neutro
64,Llegó en perfectas condiciones feliz con la compra,Positivo
65,Se desconfigura solo después de unos días de uso,Negativo
66,Muy recomendado cumple con lo que promete y más,Positivo
67,El envío demoró el doble de lo que dijeron al comprar,Negativo
68,Producto robusto y bien acabado lo usaré por mucho tiempo,Positivo
69,La garantía es inútil no quieren hacerse cargo de nada,Negativo
70,Compra confiable y rápida sin ningún inconveniente,Positivo
71,El cable incluido es de muy mala calidad se rompió pronto,Negativo
72,Fantástico producto recomiendo mucho esta marca en general,Positivo
73,No corresponde al tamaño indicado en la descripción,Negativo
74,Muy útil en mi trabajo diario lo recomiendo sin dudar,Positivo
75,El botón de encendido falla intermitentemente,Negativo
76,Buena relación calidad precio mejor de lo que esperaba,Positivo
77,Tardó un mes en llegar y llegó con golpes el empaque,Negativo
78,Funciona de maravilla estoy muy contento con la compra,Positivo
79,La tapa se despegó después de una semana de uso normal,Negativo
80,Muy buen producto lo he recomendado a varios amigos míos,Positivo
81,El vendedor no respondió ninguno de mis mensajes enviados,Negativo
82,Perfecto en todo sentido calidad precio y tiempo de entrega,Positivo
83,Se destiñe con el primer lavado es de muy mala calidad,Negativo
84,Genial compra lo uso todos los días sin problemas,Positivo
85,El empaque llegó abierto y el producto sucio por dentro,Negativo
86,Exactamente como en la foto y funciona perfectamente bien,Positivo
87,Sonido horrible para ser un producto de esa marca conocida,Negativo
88,Lo recomiendo al cien por ciento muy buen producto en general,Positivo
89,Se oxidó a la semana de uso a pesar de ser para exteriores,Negativo
90,Cumple con todas mis expectativas muy contento con la compra,Positivo
91,La costura se deshizo al primer uso claramente mal hecho,Negativo
92,Excelente producto llegó antes y en perfectas condiciones,Positivo
93,No incluye las pilas que dice la descripción,Negativo
94,Muy satisfecho con la compra superó lo que esperaba,Positivo
95,El asa se rompió con la primera vez que lo usé,Negativo
96,Buena compra fácil de usar y de buena calidad general,Positivo
97,Parece de plástico barato aunque el precio no lo es,Negativo
98,Increíble precio para la calidad que ofrece el producto,Positivo
99,No sirve para lo que dice en la descripción del producto,Negativo
100,Muy buena compra lo recomiendo sin ninguna reserva,Positivo
